panel,n,m,replication,throughput,mean,halfwidth,warmup,steps,seed,loops
table2a_single_staggered,7,4,1,3.221768250,3.221234025,0.000248159,20000,4000000,20260901,"36 36 37 38"
table2a_single_staggered,7,4,2,3.221404750,3.221234025,0.000248159,20000,4000000,20260901,"36 36 37 38"
table2a_single_staggered,7,4,3,3.221532000,3.221234025,0.000248159,20000,4000000,20260901,"36 36 37 38"
table2a_single_staggered,7,4,4,3.221332500,3.221234025,0.000248159,20000,4000000,20260901,"36 36 37 38"
table2a_single_staggered,7,4,5,3.221593250,3.221234025,0.000248159,20000,4000000,20260901,"36 36 37 38"
table2a_single_staggered,7,4,6,3.220664500,3.221234025,0.000248159,20000,4000000,20260901,"36 36 37 38"
table2a_single_staggered,7,4,7,3.220957000,3.221234025,0.000248159,20000,4000000,20260901,"36 36 37 38"
table2a_single_staggered,7,4,8,3.221124500,3.221234025,0.000248159,20000,4000000,20260901,"36 36 37 38"
table2a_single_staggered,7,4,9,3.220964750,3.221234025,0.000248159,20000,4000000,20260901,"36 36 37 38"
table2a_single_staggered,7,4,10,3.220998750,3.221234025,0.000248159,20000,4000000,20260901,"36 36 37 38"
table2a_single_staggered,7,5,1,3.760433750,3.760263225,0.000167836,20000,4000000,20260901,"36 36 37 38 39"
table2a_single_staggered,7,5,2,3.760630750,3.760263225,0.000167836,20000,4000000,20260901,"36 36 37 38 39"
table2a_single_staggered,7,5,3,3.760485250,3.760263225,0.000167836,20000,4000000,20260901,"36 36 37 38 39"
table2a_single_staggered,7,5,4,3.760219000,3.760263225,0.000167836,20000,4000000,20260901,"36 36 37 38 39"
table2a_single_staggered,7,5,5,3.760346750,3.760263225,0.000167836,20000,4000000,20260901,"36 36 37 38 39"
table2a_single_staggered,7,5,6,3.759858500,3.760263225,0.000167836,20000,4000000,20260901,"36 36 37 38 39"
table2a_single_staggered,7,5,7,3.760315500,3.760263225,0.000167836,20000,4000000,20260901,"36 36 37 38 39"
table2a_single_staggered,7,5,8,3.760144750,3.760263225,0.000167836,20000,4000000,20260901,"36 36 37 38 39"
table2a_single_staggered,7,5,9,3.759960250,3.760263225,0.000167836,20000,4000000,20260901,"36 36 37 38 39"
table2a_single_staggered,7,5,10,3.760237750,3.760263225,0.000167836,20000,4000000,20260901,"36 36 37 38 39"
table2a_single_staggered,7,6,1,4.221750500,4.221662850,0.000195850,20000,4000000,20260901,"36 36 37 38 39 40"
table2a_single_staggered,7,6,2,4.221959000,4.221662850,0.000195850,20000,4000000,20260901,"36 36 37 38 39 40"
table2a_single_staggered,7,6,3,4.221957750,4.221662850,0.000195850,20000,4000000,20260901,"36 36 37 38 39 40"
table2a_single_staggered,7,6,4,4.221744500,4.221662850,0.000195850,20000,4000000,20260901,"36 36 37 38 39 40"
table2a_single_staggered,7,6,5,4.221920500,4.221662850,0.000195850,20000,4000000,20260901,"36 36 37 38 39 40"
table2a_single_staggered,7,6,6,4.221476250,4.221662850,0.000195850,20000,4000000,20260901,"36 36 37 38 39 40"
table2a_single_staggered,7,6,7,4.221789250,4.221662850,0.000195850,20000,4000000,20260901,"36 36 37 38 39 40"
table2a_single_staggered,7,6,8,4.221538500,4.221662850,0.000195850,20000,4000000,20260901,"36 36 37 38 39 40"
table2a_single_staggered,7,6,9,4.221299000,4.221662850,0.000195850,20000,4000000,20260901,"36 36 37 38 39 40"
table2a_single_staggered,7,6,10,4.221193250,4.221662850,0.000195850,20000,4000000,20260901,"36 36 37 38 39 40"
table2a_single_staggered,7,7,1,4.616652250,4.616888400,0.000319179,20000,4000000,20260901,"36 36 37 38 39 40 41"
table2a_single_staggered,7,7,2,4.617734250,4.616888400,0.000319179,20000,4000000,20260901,"36 36 37 38 39 40 41"
table2a_single_staggered,7,7,3,4.616354250,4.616888400,0.000319179,20000,4000000,20260901,"36 36 37 38 39 40 41"
table2a_single_staggered,7,7,4,4.616955500,4.616888400,0.000319179,20000,4000000,20260901,"36 36 37 38 39 40 41"
table2a_single_staggered,7,7,5,4.617148500,4.616888400,0.000319179,20000,4000000,20260901,"36 36 37 38 39 40 41"
table2a_single_staggered,7,7,6,4.616596500,4.616888400,0.000319179,20000,4000000,20260901,"36 36 37 38 39 40 41"
table2a_single_staggered,7,7,7,4.617415250,4.616888400,0.000319179,20000,4000000,20260901,"36 36 37 38 39 40 41"
table2a_single_staggered,7,7,8,4.616807500,4.616888400,0.000319179,20000,4000000,20260901,"36 36 37 38 39 40 41"
table2a_single_staggered,7,7,9,4.616346750,4.616888400,0.000319179,20000,4000000,20260901,"36 36 37 38 39 40 41"
table2a_single_staggered,7,7,10,4.616873250,4.616888400,0.000319179,20000,4000000,20260901,"36 36 37 38 39 40 41"
table2a_single_staggered,7,8,1,4.954965000,4.955049100,0.000324100,20000,4000000,20260901,"36 36 37 38 39 40 41 42"
table2a_single_staggered,7,8,2,4.955728250,4.955049100,0.000324100,20000,4000000,20260901,"36 36 37 38 39 40 41 42"
table2a_single_staggered,7,8,3,4.954838500,4.955049100,0.000324100,20000,4000000,20260901,"36 36 37 38 39 40 41 42"
table2a_single_staggered,7,8,4,4.955153500,4.955049100,0.000324100,20000,4000000,20260901,"36 36 37 38 39 40 41 42"
table2a_single_staggered,7,8,5,4.955704750,4.955049100,0.000324100,20000,4000000,20260901,"36 36 37 38 39 40 41 42"
table2a_single_staggered,7,8,6,4.954493250,4.955049100,0.000324100,20000,4000000,20260901,"36 36 37 38 39 40 41 42"
table2a_single_staggered,7,8,7,4.955086000,4.955049100,0.000324100,20000,4000000,20260901,"36 36 37 38 39 40 41 42"
table2a_single_staggered,7,8,8,4.955000500,4.955049100,0.000324100,20000,4000000,20260901,"36 36 37 38 39 40 41 42"
table2a_single_staggered,7,8,9,4.954305250,4.955049100,0.000324100,20000,4000000,20260901,"36 36 37 38 39 40 41 42"
table2a_single_staggered,7,8,10,4.955216000,4.955049100,0.000324100,20000,4000000,20260901,"36 36 37 38 39 40 41 42"
table2a_single_staggered,7,9,1,5.245312250,5.245048200,0.000302801,20000,4000000,20260901,"36 36 37 38 39 40 41 42 43"
