n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|1|1|6|7,1,15,13.036246,0.000898,15,13.036612,0.000914
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|2|6|7,1,15,12.649022,0.001393,15,12.649151,0.001069
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|1|7|7,1,15,12.610229,0.001129,15,12.610132,0.001257
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|1|1|1|1|1|1|1|8,1,15,13.907358,0.000818,15,13.907651,0.001218
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|1|1|1|1|1|2|8,1,15,13.862716,0.001416,15,13.862877,0.001040
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|1|1|1|2|2|8,1,15,13.711805,0.001104,15,13.712214,0.001029
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|1|2|2|2|8,1,15,13.457105,0.001254,15,13.457202,0.001241
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|1|1|1|1|3|8,1,15,13.678894,0.000726,15,13.679247,0.001346
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|1|1|2|3|8,1,15,13.451407,0.000904,15,13.450654,0.000756
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|2|2|3|8,1,15,13.110101,0.000751,15,13.109594,0.000917
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|1|3|3|8,1,15,13.088683,0.000913,15,13.088598,0.001064
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|1|1|1|4|8,1,15,13.396677,0.000840,15,13.396714,0.000962
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|1|2|4|8,1,15,13.087337,0.001431,15,13.086920,0.000873
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|3|4|8,1,15,12.651169,0.001135,15,12.651536,0.001333
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|1|1|5|8,1,15,13.037107,0.000883,15,13.037199,0.001107
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|2|5|8,1,15,12.648695,0.000948,15,12.648901,0.001112
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|1|6|8,1,15,12.610539,0.001369,15,12.610087,0.000917
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|0|0|0|0|7|8,1,15,12.123720,0.001513,15,12.122976,0.001295
15,15,15,1,0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|1|1|1|1|1|1|9,1,15,13.753151,0.000940,15,13.753377,0.000825
