n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
15,15,15,0,0|0|0|0|0|0|0|0|0|1|1|1|2|2|8,,1,15,12.527049,0.001310,15,12.527090,0.001454
15,15,15,0,0|0|0|0|0|0|0|0|0|0|1|2|2|2|8,,1,15,12.125131,0.001358,15,12.125264,0.000903
15,15,15,0,0|0|0|0|0|0|0|0|0|1|1|1|1|3|8,,1,15,12.475286,0.001064,15,12.475614,0.001340
15,15,15,0,0|0|0|0|0|0|0|0|0|0|1|1|2|3|8,,1,15,12.104356,0.000855,15,12.104420,0.001893
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|2|2|3|8,,1,15,11.627514,0.001455,15,11.627330,0.001306
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|1|3|3|8,,1,15,11.600196,0.001444,15,11.600561,0.000976
15,15,15,0,0|0|0|0|0|0|0|0|0|0|1|1|1|4|8,,1,15,12.039838,0.001142,15,12.039866,0.001570
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|1|2|4|8,,1,15,11.597131,0.001590,15,11.597573,0.001053
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|0|3|4|8,,1,15,11.038163,0.001461,15,11.038293,0.001741
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|1|1|5|8,,1,15,11.543320,0.001206,15,11.543434,0.000780
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|0|2|5|8,,1,15,11.034954,0.001003,15,11.034694,0.001155
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|0|1|6|8,,1,15,10.996116,0.001168,15,10.995525,0.001381
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|0|0|7|8,,1,15,10.401919,0.001393,15,10.401789,0.002118
15,15,15,0,0|0|0|0|0|0|0|0|1|1|1|1|1|1|9,,1,15,12.684234,0.001013,15,12.684121,0.001106
15,15,15,0,0|0|0|0|0|0|0|0|0|1|1|1|1|2|9,,1,15,12.446630,0.001076,15,12.445930,0.000817
15,15,15,0,0|0|0|0|0|0|0|0|0|0|1|1|2|2|9,,1,15,12.081797,0.001399,15,12.082189,0.001448
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|2|2|2|9,,1,15,11.612538,0.001525,15,11.612301,0.001378
15,15,15,0,0|0|0|0|0|0|0|0|0|0|1|1|1|3|9,,1,15,12.035811,0.001413,15,12.035002,0.001476
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|1|2|3|9,,1,15,11.594779,0.001629,15,11.594495,0.001310
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|0|3|3|9,,1,15,11.036089,0.001086,15,11.037097,0.001661
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|1|1|4|9,,1,15,11.543527,0.001036,15,11.543041,0.001228
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|0|2|4|9,,1,15,11.035568,0.001563,15,11.034984,0.001357
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|0|1|5|9,,1,15,10.996035,0.001413,15,10.996025,0.001634
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|0|0|6|9,,1,15,10.402230,0.001644,15,10.402080,0.001672
15,15,15,0,0|0|0|0|0|0|0|0|0|1|1|1|1|1|10,,1,15,12.327277,0.000885,15,12.327413,0.001103
15,15,15,0,0|0|0|0|0|0|0|0|0|0|1|1|1|2|10,,1,15,12.015389,0.001120,15,12.015450,0.001259
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|1|2|2|10,,1,15,11.580110,0.001017,15,11.579651,0.001396
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|1|1|3|10,,1,15,11.541351,0.001793,15,11.540478,0.001648
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|0|2|3|10,,1,15,11.033981,0.001368,15,11.034487,0.001289
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|0|1|4|10,,1,15,10.995930,0.001335,15,10.995821,0.001256
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|0|0|5|10,,1,15,10.402140,0.001386,15,10.402129,0.001920
15,15,15,0,0|0|0|0|0|0|0|0|0|0|1|1|1|1|11,,1,15,11.914744,0.001214,15,11.914849,0.001016
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|1|1|2|11,,1,15,11.527353,0.001909,15,11.527652,0.000803
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|0|2|2|11,,1,15,11.025681,0.001615,15,11.026046,0.001638
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|0|1|3|11,,1,15,10.995097,0.001283,15,10.994946,0.001206
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|0|0|4|11,,1,15,10.401620,0.001287,15,10.402359,0.001262
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|1|1|1|12,,1,15,11.446404,0.001349,15,11.446609,0.001474
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|0|1|2|12,,1,15,10.986898,0.001192,15,10.987660,0.001517
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|0|0|3|12,,1,15,10.402336,0.001788,15,10.401874,0.001591
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|0|1|1|13,,1,15,10.925021,0.001522,15,10.925213,0.001311
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|0|0|2|13,,1,15,10.398285,0.001857,15,10.398148,0.002071
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|0|0|1|14,,1,15,10.353238,0.001714,15,10.353226,0.001510
15,15,15,0,0|0|0|0|0|0|0|0|0|0|0|0|0|0|15,,1,15,9.734409,0.001172,15,9.734934,0.001902
