n,m,B,dual,c_forward,c_backward,structured,r1,mean1,sd1,r3,mean3,sd3
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|1|3|3|8,1,15,9.661126,0.000484,15,9.661271,0.000390
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|1|1|1|4|8,1,15,9.791118,0.000395,15,9.791014,0.000347
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|1|2|4|8,1,15,9.661113,0.000559,15,9.661167,0.000591
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|3|4|8,1,15,9.471640,0.000440,15,9.471911,0.000679
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|1|1|5|8,1,15,9.652964,0.000372,15,9.652864,0.000514
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|2|5|8,1,15,9.471456,0.000809,15,9.471635,0.000762
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|1|6|8,1,15,9.465295,0.000553,15,9.465008,0.000680
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|7|8,1,15,9.223053,0.000819,15,9.222965,0.000562
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|1|1|1|1|1|1|9,1,15,9.920009,0.000320,15,9.920139,0.000201
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|1|1|1|1|2|9,1,15,9.883350,0.000304,15,9.883339,0.000361
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|1|1|2|2|9,1,15,9.799042,0.000319,15,9.799163,0.000349
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|2|2|2|9,1,15,9.663608,0.000479,15,9.664050,0.000508
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|1|1|1|3|9,1,15,9.790984,0.000599,15,9.790885,0.000279
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|1|2|3|9,1,15,9.660673,0.000617,15,9.661013,0.000569
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|3|3|9,1,15,9.471411,0.000606,15,9.471511,0.000663
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|1|1|4|9,1,15,9.653110,0.000484,15,9.653102,0.000578
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|2|4|9,1,15,9.471617,0.000532,15,9.471517,0.000646
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|1|5|9,1,15,9.465011,0.000621,15,9.464872,0.000531
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|6|9,1,15,9.223234,0.000851,15,9.223104,0.000771
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|1|1|1|1|1|10,1,15,9.864479,0.000331,15,9.864396,0.000377
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|1|1|1|2|10,1,15,9.789710,0.000279,15,9.789800,0.000390
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|1|2|2|10,1,15,9.659753,0.000458,15,9.660034,0.000680
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|1|1|3|10,1,15,9.652932,0.000440,15,9.653028,0.000539
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|2|3|10,1,15,9.471456,0.000504,15,9.471382,0.000659
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|1|4|10,1,15,9.464900,0.000573,15,9.464810,0.000560
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|5|10,1,15,9.223110,0.000757,15,9.223113,0.000709
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|1|1|1|1|11,1,15,9.772284,0.000510,15,9.772317,0.000472
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|1|1|2|11,1,15,9.652013,0.000507,15,9.652031,0.000462
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|2|2|11,1,15,9.470686,0.000563,15,9.470752,0.000482
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|1|3|11,1,15,9.465162,0.000611,15,9.465164,0.000539
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|4|11,1,15,9.222683,0.000550,15,9.222939,0.000827
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|1|1|1|12,1,15,9.636249,0.000588,15,9.636557,0.000440
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|1|2|12,1,15,9.464527,0.000562,15,9.464637,0.000584
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|3|12,1,15,9.223055,0.000704,15,9.223120,0.000660
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|1|1|13,1,15,9.451426,0.000705,15,9.451535,0.000830
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|2|13,1,15,9.222659,0.000785,15,9.222549,0.000653
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|1|14,1,15,9.211964,0.000908,15,9.212545,0.000546
15,10,15,1,0|0|0|0|0|0|0|0|0|0,0|0|0|0|0|0|0|0|0|15,1,15,8.916576,0.000799,15,8.916823,0.000653
